"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2688","test_move_removes_source","tests","2026-08-04","passed","2026-08-04","TestCopyMove","test_operations","",""
"","1263","test_create_folder","tests","2026-08-04","passed","2026-08-04","TestFolders","test_folders","",""
"","388","test_create_duplicate","tests","2026-08-04","passed","2026-08-04","TestFolders","test_folders","",""
"","2660","test_delete_moves_to_trash","tests","2026-08-04","passed","2026-08-04","TestTrash","test_trash","",""
"","1670","test_copy_folder","tests","2026-08-04","passed","2026-08-04","TestCopyMove","test_operations","",""
"","650","test_created_folder_is_dir","tests","2026-08-04","passed","2026-08-04","TestFolders","test_folders","",""
"","385","test_disk_info_schema","tests","2026-08-04","passed","2026-08-04","TestDiskInfo","test_disk_info","",""
"","3330","test_restore_from_trash","tests","2026-08-04","passed","2026-08-04","TestTrash","test_trash","",""
"","2228","test_permanent_delete_not_in_trash","tests","2026-08-04","passed","2026-08-04","TestTrash","test_trash","",""
"","2585","test_copy_to_existing_path","tests","2026-08-04","passed","2026-08-04","TestCopyMove","test_operations","",""
"","2026","test_delete_folder","tests","2026-08-04","passed","2026-08-04","TestFolders","test_folders","",""
"","2355","test_copy_keeps_source","tests","2026-08-04","passed","2026-08-04","TestCopyMove","test_operations","",""
"","314","test_get_disk_info","tests","2026-08-04","passed","2026-08-04","TestDiskInfo","test_disk_info","",""
